year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version
1976,Alabama,AL,1,63,41,US House,1,gen,FALSE,FALSE,Bill Davenport,democrat,FALSE,total,58906.00,157170.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,1,gen,FALSE,FALSE,Jack Edwards,republican,FALSE,total,98257.00,157170.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,1,gen,FALSE,FALSE,NA,NA,TRUE,total,7.00,157170.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,2,gen,FALSE,FALSE,J. Carole Keahey,democrat,FALSE,total,66288.00,156362.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,2,gen,FALSE,FALSE,NA,NA,TRUE,total,5.00,156362.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,2,gen,FALSE,FALSE,"William L. """"Bill"""" Dickinson",republican,FALSE,total,90069.00,156362.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,3,gen,FALSE,FALSE,Bill Nichols,democrat,FALSE,total,106935.00,108048.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,3,gen,FALSE,FALSE,NA,NA,TRUE,total,2.00,108048.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,3,gen,FALSE,FALSE,Ogburn Gardner,prohibition,FALSE,total,1111.00,108048.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,4,gen,FALSE,FALSE,Tom Bevill,democrat,FALSE,total,141490.00,176022.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,4,gen,FALSE,FALSE,Leonard Wilson,republican,FALSE,total,34531.00,176022.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,4,gen,FALSE,FALSE,NA,NA,TRUE,total,1.00,176022.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,5,gen,FALSE,FALSE,Ronnie G. Flippo,democrat,FALSE,total,113553.00,113560.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,5,gen,FALSE,FALSE,NA,NA,TRUE,total,7.00,113560.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,6,gen,FALSE,FALSE,Billy E. Dorsey,national democrat,FALSE,total,1021.00,162518.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,6,gen,FALSE,FALSE,Mel Bailey,democrat,FALSE,total,69384.00,162518.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,6,gen,FALSE,FALSE,"John H. Buchanan, Jr.",republican,FALSE,total,92113.00,162518.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,7,gen,FALSE,FALSE,Walter Flowers,democrat,FALSE,total,110496.00,110501.00,FALSE,20171005
1976,Alabama,AL,1,63,41,US House,7,gen,FALSE,FALSE,NA,NA,TRUE,total,5.00,110501.00,FALSE,20171005
1976,Alaska,AK,2,94,81,US House,0,gen,FALSE,FALSE,Don Young,republican,FALSE,total,83722.00,118208.00,FALSE,20171005
1976,Alaska,AK,2,94,81,US House,0,gen,FALSE,FALSE,NA,NA,TRUE,total,292.00,118208.00,FALSE,20171005
1976,Alaska,AK,2,94,81,US House,0,gen,FALSE,FALSE,Eben Hopson,democrat,FALSE,total,34194.00,118208.00,FALSE,20171005
1976,Arizona,AZ,4,86,61,US House,1,gen,FALSE,FALSE,Harry Braun,independent,FALSE,total,1040.00,168119.00,FALSE,20171005
1976,Arizona,AZ,4,86,61,US House,1,gen,FALSE,FALSE,John J. Rhodes,republican,FALSE,total,96397.00,168119.00,FALSE,20171005
1976,Arizona,AZ,4,86,61,US House,1,gen,FALSE,FALSE,Summer Duncan Dodge,libertarian,FALSE,total,2278.00,168119.00,FALSE,20171005
1976,Arizona,AZ,4,86,61,US House,1,gen,FALSE,FALSE,Patricia M. Fullinwider,democrat,FALSE,total,68404.00,168119.00,FALSE,20171005
1976,Arizona,AZ,4,86,61,US House,2,gen,FALSE,FALSE,Laird Guttersen,republican,FALSE,total,71765.00,182128.00,FALSE,20171005
1976,Arizona,AZ,4,86,61,US House,2,gen,FALSE,FALSE,Michael Emerling,libertarian,FALSE,total,4309.00,182128.00,FALSE,20171005
